
[CHASING INSTANTSTACK] Head: (2, 13) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 12) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 11) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 11) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 10) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 9) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 9) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 8) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 7) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 7) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 6) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (3, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (3, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 5) | Move: SOUTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 5) | Move: SOUTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 6) | Move: EAST | Safe path to InstantStack (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 6) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 6) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 7) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 8) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 8) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 9) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (6, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (6, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (4, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (3, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (3, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 10) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 9) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 9) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 8) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 7) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 6) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 6) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 5) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 4) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 4) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 3) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 2) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 1) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 1) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 0) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 40) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 40) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 39) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 38) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 37) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 37) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 36) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 35) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 35) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 34) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 33) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SPEEDBOOST] Head: (2, 32) | Move: EAST | Safe path to SpeedBoost (Tier 1 (Fully Safe))
[CHASING SPEEDBOOST] Head: (2, 32) | Move: EAST | Safe path to SpeedBoost (Tier 1 (Fully Safe))
[CHASING SPEEDBOOST] Head: (3, 32) | Move: SOUTH | Safe path to SpeedBoost (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 32) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 33) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 33) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 34) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 35) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 35) | Move: SOUTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 36) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (4, 37) | Move: EAST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 37) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 37) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 36) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 35) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 34) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 33) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 33) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 32) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 31) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 30) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 29) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 29) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (5, 28) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
